kategori,name,price_raw,price
alat-tulis,Correction Tape / Tip-ex PLUS Wh-615 Motif - Keroppi,Rp21.280,21280.0
alat-tulis,CORRECTION TAPE CT62 5MM X 5M TIP-X TIPEX TIP EX KERTAS TOYO,Rp11.600,11600.0
alat-tulis,STABILO Point 88 Apple Green Isi 1 pcs / Fineliner / Pen Warna Hijau,Rp11.400,11400.0
alat-tulis,STABILO Point 88 Light Ochre Isi 1 pcs / Fineliner / Pen Warna Krem,Rp11.400,11400.0
alat-tulis,Rautan Pensil Pump Agatis Prime Satu Lubang (Single Hole),Rp12.000,12000.0
alat-tulis,STABILO EASYGRAPH 2B PETROL LEFT,Rp28.350,28350.0
alat-tulis,BUKU PROJEK PENGUATAN PROFIL PELAJAR PANCASILA (P5): UNTUK SISWA SEKOLAH MENENGAH PERTAMA (FASE-D),Rp70.000,70000.0
alat-tulis,Deli rautan lucu EH573 stationery back to school stationery,Rp16.900,16900.0
alat-tulis,MACS Hybrid Gel Pen HG 200 - Blue ( Pulpen / Pena / Ballpoint ),Rp12.000,12000.0
alat-tulis,BUTTERFLY - Penggaris Sablon Huruf 6mm BT-R6 - Pcs,Rp31.000,31000.0
alat-tulis,GUNDAM MARKER 2 in 1 GM02 GM03 - Extra thin Ori Japan,Rp82.000,82000.0
alat-tulis,STABILO Pastel Collection - Set 7 Mint BOSS Pen 68 point 88,Rp80.100,80100.0
alat-tulis,Faber-Castell PITT Oil Base medium black,Rp33.000,33000.0
alat-tulis,"Hand2Mind Transparent, Semiflexible Plastic Rulers, Penggaris Transparan Semi Fleksibel Plastik Anti Pecah Tahan Bentuk untuk Kelas",Rp25.000,25000.0
alat-tulis,ARTLINE Spidol Highlighter Clix Marker EK-63,Rp32.000,32000.0
alat-tulis,Esco Centre Ball Pen - Pulpen 0.7 mm Grip Segitiga Tinta Hitam 12 Pcs (BP-380),Rp27.270,27270.0
alat-tulis,SNOWMAN - Pulpen V3 Pen gel 0.5mm Bulpen Bolpoint - Lusin,Rp35.850,35850.0
alat-tulis,Aksesoren Pencil Joyko 2B 1 Pack [P-88M / 12 Pcs] / Pensil Hijau 1 Box / Alat Tulis Gambar Menulis / Pinsil Kayu Stationery,Rp22.900,22900.0
alat-tulis,Faber-Castell Grip Brush Kuas Set 4 Colours,Rp45.900,45900.0
alat-tulis,Languo MONO Mesh Pencil Case / Kotak Pensil / Pouch,Rp45.900,45900.0
alat-tulis,Faber-Castell Combo Correction Tape Black Hexagon + 1 Refill,Rp33.000,33000.0
alat-tulis,ARTLINE J-POP Gel Inked Roller Ball EGB-S260 0.5 mm Part 1,Rp11.300,11300.0
alat-tulis,Pensil 2B Karakter Joyko P-114 Untuk Ujian Sekolah / Pencil 2B anak,Rp23.500,23500.0
alat-tulis,WEIBO-Pensil 2B Isi 12Pcs,Rp11.990,11990.0
alat-tulis,GREEBEL Pensil Pencil 2B (7022) / Pensil Kayu Pensil Ujian,Rp53.950,53950.0
alat-tulis,"Faster P70 Permanent marker-12pcs (3 black , 3 blue ,3 red, 3 green )",Rp58.650,58650.0
alat-tulis,"Spidol Permanen OHP OPM Snowman 1.0mm - Medium Permanent Marker 1,0 mm",Rp10.827,10827.0
alat-tulis,GREEBEL PULPEN GEL / GEL PEN Rival GP-502 0.5 Tinta Merah (3PCS/SET) / Ballpen Gel Ballpoint Bolpen Bolpoin Pena Gel,Rp13.950,13950.0
alat-tulis,GREEBEL Ballpen Pulpen Pena TECHNOLINE 0.5 (3PCS/SET) / Alat Tulis Kantor Sekolah Anak,Rp11.650,11650.0
alat-tulis,GREEBEL PULPEN GEL / GEL PEN Aesthetic GP-513 0.5 Tinta Hitam (6PCS/SET) / Ballpen Gel Ballpoint Bolpen Bolpoin Pena Gel,Rp31.850,31850.0
alat-tulis,GREEBEL Pensil Mekanik PM-002 Mascott (1PCS) / Mechanical Pencil Penghapus / Propelling Pencil Mechanic,Rp11.600,11600.0
alat-tulis,Pencil Case Custom Nama | Naimax kids Pencil case premium perempuan Alat Pencil Stationery Tulisl Pensil,Rp51.480,51480.0
alat-tulis,Color Pen Estudee Kurikku Red 03 Es-Cp619,Rp8.900,8900.0
alat-tulis,ZEBRA KOKORO GEL 0.5 PLUS BLACK,Rp13.500,13500.0
alat-tulis,PILOT BALLPEN FRIXION CLICKER BLRT FR 07 BLACK,Rp34.800,34800.0
alat-tulis,Dasar-Dasar Menulis Tegak Bersambung Untuk Tk Dan Sekolah Dasar,Rp47.200,47200.0
alat-tulis,Dasar-Dasar Motorik Halus Untuk Paud,Rp67.150,67150.0
alat-tulis,Estudee Graphic Ruler 30Cm Red Es-R030,Rp13.600,13600.0
alat-tulis,Faber Castell Correction Tape Sr 506 Green Plus 1 Refill,Rp38.000,38000.0
alat-tulis,STABILO BOSS ORIGINAL 70-58 LILAC,Rp16.000,16000.0
alat-tulis,Pensil Mekanik Estudee Riku Mech.Pencil Shakeshake 0.5Mm Bluepink,Rp14.900,14900.0
alat-tulis,Penggaris Estudee Flexy Ruler 30Cm,Rp12.800,12800.0
alat-tulis,Estudee Drawing Book A4 J Winter,Rp9.900,9900.0
alat-tulis,Glue Tape Estudee Pink Seri Es-G501,Rp22.800,22800.0
alat-tulis,Pensil Mekanik Pilot 0.5Mm Seri Hrg-10R,Rp23.500,23500.0
alat-tulis,PENGHAPUS FABER ERASER EBTA+SPMB 187168,Rp12.000,12000.0
alat-tulis,GREEBEL Pensil Kayu 2B 7028 (12PCS/SET) Pastel Mood / Pensil Tulis / Grafit / Graphite / Pensil Ujian Sekolah / Pensil Gambar,Rp25.850,25850.0
alat-tulis,GREEBEL Pensil Kayu 2B 7027 Neon (12PCS/SET) Pensil Kayu Ujian / Pencil Grafit Graphite / Pensil Gambar,Rp25.850,25850.0
alat-tulis,JOYKO Mechanical Pencil Pensil Mekanik MP-70 2.0 mm,Rp3.300,3300.0
alat-tulis,Standard Boldliner Pro 1.0 Black,Rp32.000,32000.0
alat-tulis,Whiteboard / Papan Tulis Magnetic SAKANA 90x180 cm (Single Face Kaki),Rp1.435.000,1435000.0
alat-tulis,MACS Gel Crayon 36 Warna Colors Stationery,Rp165.000,165000.0
alat-tulis,GREEBEL Paket Correction Pen Penghapus Pulpen Cair (CORPEN SET GBC 120701 + GBC 120702) / Tipe X/ Tip X Cepat Kering,Rp15.600,15600.0
alat-tulis,HIOSHI /Kapur Tulis Serbaguna/Penanda Checking/Marking/Kaca/Karet/Kayu/Besi (Harga 12pcs) - HD,Rp45.000,45000.0
alat-tulis,Poster Hanger Portable PHP-G011-GZ-YL Papan Promosi Informasi,Rp71.440,71440.0
alat-tulis,BUNDLING PVC XANTRI Bahan ID Card Printer Inkjet 1 Box / 230 pcs PVC Paper Instant 5.4 X 8.6 Cm Double Side Isi 230 pcs Support Printer Inkjet dan Laserjet & PVC ID CARD Xantri Polos A4 isi 5 lembar / 50 lembar Bahan Polyvinyl Chloride (PVC),Rp64.000,64000.0
alat-tulis,Standard - Pulpen Lexion 0.5 LX-605 Gel ( Alat Tulis / Pen / Ballpoint / Pena ),Rp55.860,55860.0
alat-tulis,Standard - Pulpen R8 0.7 ( Alat Tulis / Pen / Ballpoint / Pena ),Rp47.040,47040.0
alat-tulis,Bantex Exclusive Multiring Binder B5/Binder Hardcover/Binder Karton 26 Ring - 1327,Rp65.000,65000.0
alat-tulis,Bantex Kertas Foto / RC Glossy Photo Paper 260g Isi 20 Pcs Ukuran A4 BC7104,Rp69.000,69000.0
alat-tulis,FABER CASTELL GRIP ERASER,Rp9.500,9500.0
alat-tulis,Pilot H-165-SL-L Pensil Mekanik Non-Slip Grip Mechanical Pencil 0.5 mm,Rp22.500,22500.0
alat-tulis,Joyko Gel Pen King Jeller JK-100 Tinta Hitam Tahan Air Satuan,Rp4.000,4000.0
alat-tulis,SNOWMAN BOARD MARKER BG12 BIRU SPIDOL PAPAN TULIS,Rp13.888,13888.0
alat-tulis,Joyko Permanent Marker Spidol Permanen PM-17 18 19 Round Tip Satuan,Rp5.000,5000.0
alat-tulis,Kotak Tempat Pensil Alat Tulis Joyko PC-5004 Pencil Case,Rp68.294,68294.0
alat-tulis,GREEBEL Jangka Set / Jangka Besi Warna Plus isi Pensil C 3302 / Math Set,Rp13.250,13250.0
alat-tulis,ABT Dual Brush Pen Red red,Rp20.900,20900.0
alat-tulis,Deli Magnetic Whiteboard Eraser / Penghapus Magnet Papan Tulis E7838 Biru Stationery,Rp26.900,26900.0
alat-tulis,Faber-Castell Buku Gambar A5,Rp16.500,16500.0
alat-tulis,Tempat Pensil 2 Susun Karakter Lengkap [3318] / Kotak Pinsil Anak Lucu Perempuan Dan Laki-laki / Case Pencils Cute / Tepak Wadah Pulpen Rautan Stationery,Rp32.500,32500.0
alat-tulis,GREEBEL PULPEN GEL / GEL PEN Ornate GP-505 0.5 Tinta Merah (12PCS/SET) / Ballpen Gel Ballpoint Bolpen Bolpoin Pena Gel,Rp37.350,37350.0
alat-tulis,GREEBEL PULPEN GEL / GEL PEN Viero GP-504 0.5 Tinta Biru (12PCS/SET) / Ballpen Gel Ballpoint Bolpen Bolpoin Pena Gel,Rp32.850,32850.0
alat-tulis,Pulpen Trian Joyko [BP-329/12Pcs] Ballpoint 1 Pack Bolpen Bulpen 1 Pak,Rp18.500,18500.0
alat-tulis,Pensil 2B 1 Pak Kayagi KY-PF3024 / Pinsil Pengsil Pencil Karakter Pack,Rp19.500,19500.0
alat-tulis,Pulpen I-Tech Gel GP-182 Joyko [1 Pack] / Ballpoint Pena Pen [1 Pak],Rp43.150,43150.0
alat-tulis,GREEBEL Pulpen Gel / Jolly 0.5 GP-518 (12PCS/SET) / Gel Pen Pena Gel,Rp44.650,44650.0
alat-tulis,"Ballpoint /Pulpen Faster C6 ,0.7 mm isi 12 pcs - black & blue",Rp52.687,52687.0
alat-tulis,Zebra Mildliner Mild WKT7 - Double Sided Highlighter Penanda Halaman - Water-based Marker Pastel,Rp21.330,21330.0
alat-tulis,Faber-Castell School Scissors Anak – Gunting Sekolah Stainless Steel Ergonomis Aman,Rp13.000,13000.0
alat-tulis,Zebra Permanent Marker / Spidol Permanen M-80,Rp11.250,11250.0
alat-tulis,JOYKO GELL PEN 189 OVAL SET 3 PCS,Rp37.800,37800.0
alat-tulis,Faber - Castell Connector Pen 12 Pastel Neon Color,Rp40.100,40100.0
alat-tulis,MACS Pensil 2B Premium Segitiga 4CT,Rp13.000,13000.0
alat-tulis,Zebra Gel Pen Pulpen Sarasa Milky - 0.5 mm,Rp20.430,20430.0
