kategori,name,price_raw,price
kesehatan-wanita,OPTALVIT PLUS STRIP 10 TABLET,Rp112.643,112643.0
kesehatan-wanita,RECOVIT SYRUP ISI 100 ML BOTOL,Rp14.067,14067.0
kesehatan-wanita,FLIMTY RASA RASPBERRY 15 GRAM BOX 16 SACHET,Rp318.754,318754.0
kesehatan-wanita,NUTRAFOR RADIANCE BEAUTY 30 CAPSUL,Rp172.250,172250.0
kesehatan-wanita,LACIDOFIL 1 GRAM SERBUK BOX 30 SACHET,Rp470.309,470309.0
kesehatan-wanita,Madu Beeye 200ML ( 3 Botol ) - Herbal Meningkatkan Ketajaman Penglihatan Secara Alami/ Merawat Mata Dengan Bahan Alami/ Atasi Mata Minus Dengan Beeye Herbal Sehat Dan Alami,Rp350.000,350000.0
kesehatan-wanita,IMUNPED SIRUP BOTOL 120 ML,Rp122.877,122877.0
kesehatan-wanita,APIALYS DROPS ISI 10 ML BOTOL,Rp85.678,85678.0
kesehatan-wanita,Herbal Untuk Keputihan Gatal Miss V Bau Becek Berlendir - Sehat Wanita isi 50 dan 100 Kapsul,Rp199.000,199000.0
kesehatan-wanita,"Hexabumin Untuk Anak Sering Mengompol Di Malam Hari, Anak Beser Kencing Terus Saat Tidur",Rp95.000,95000.0
kesehatan-wanita,Obat Redakan Pilek & Flu Anak & Dewasa Hidung Tersumbat Meler Sering Bersin Tenggorokan Gatal Sakit Kepala Badan Demam Pegal Linu PALING AMPUH Namun Tergantung Kondisi Tubuh,Rp110.000,110000.0
kesehatan-wanita,NOURISH SKIN ULTIMATE NEW 15 TABLET,Rp120.216,120216.0
kesehatan-wanita,LYTACUR SYRUP ISI 60 ML BOTOL,Rp16.100,16100.0
kesehatan-wanita,Propolis SM Pengencer Dahak Tanpa Batuk Lendir Di Tenggorokan Dan Dada 6ML,Rp106.000,106000.0
kesehatan-wanita,Obat Kista Herbal | Ling Shen Yao | Kanker Kista Miom | Serbuk,Rp570.000,570000.0
kesehatan-wanita,Bisa COD Qnc Jelly Gamat Penghancur Lipoma -Penghilang Lipoma - Di Selangkangan Original Emas,Rp199.000,199000.0
kesehatan-wanita,CITICOLINE MAHAKAM 500 MG BOX 30 KAPLET,Rp115.193,115193.0
kesehatan-wanita,LACTAMOR STRIP ISI 10 KAPLET,Rp43.624,43624.0
kesehatan-wanita,Astrova Herbal,Rp106.000,106000.0
kesehatan-wanita,Sendifit Suplemen Herbal Atasi Nyeri Otot Betis Dan Paha,Rp137.000,137000.0
kesehatan-wanita,VIDORAN SMART FRUGIE 100 ML BOTOL,Rp24.681,24681.0
kesehatan-wanita,L-CORE SERBUK 8 GRAM BOX 5 SACHET,Rp238.863,238863.0
kesehatan-wanita,Kapsul Keloreena Mata Berlemak Dan Merah - Pterygium Menghilangkan Selaput Pada Putih Bola Mata,Rp103.000,103000.0
kesehatan-wanita,"Propolis Sm Atasi Keloid Menonjol Tahunan, Keloid Daging Tumbuh, Kutil, Menghilangkan Keloid Berkerut Untuk Anak dan Dewasa",Rp105.000,105000.0
kesehatan-wanita,Propolis SM Untuk Menghilangkan Keloid Menonjol 6ml,Rp106.000,106000.0
kesehatan-wanita,FIBRANEX SERBUK 3 GRAM BOX 30 SACHET,Rp423.164,423164.0
kesehatan-wanita,KIRANTI SEHAT DATANG BULAN+JUICE 150 ML,Rp9.300,9300.0
kesehatan-wanita,ZYMUNO ISI 200 ML BOTOL PLASTIK,Rp212.627,212627.0
kesehatan-wanita,VIDORAN SMART RASA STRAWBERRY SYRUP 100 ML,Rp27.407,27407.0
kesehatan-wanita,VIDORAN SMART RASA STRAWBERRY SYRUP 100 ML,Rp21.601,21601.0
kesehatan-wanita,Appeton Wellness 60+ Vanilla 900 gr - Susu Penambah Nutrisi Lansia,Rp656.700,656700.0
kesehatan-wanita,Vitummy Madu Multivitamin Penambah nafsu makan anak Anak sehat cerdas Vitumi Pitumi Penambah Nafsu Makan anak BPOM TR226004181 130ml Mencegah Cacingan Anak Menambah Nafsu Makan & Berat Badan Terpercaya,Rp87.000,87000.0
kesehatan-wanita,Keloreena Vitamin Penyubur Sperma Pria Pengental Sperma Atasi Sperma Encer Azoospermia Sperma Kosong,Rp118.000,118000.0
kesehatan-wanita,Herbakof Strong Mint Stick Pack 15 ml (x2) | Sirup Herbal Anak Dewasa Tenggorakan Gatal Kering Berdahak,Rp7.200,7200.0
kesehatan-wanita,"Paket lengkap batu empedu & batu ginjal tiens | e nutrisi lengkap batu empedu | detox,penyeimbang dan penguat | vitaline | zinc | munchord",Rp1.150.000,1150000.0
kesehatan-wanita,feminax strip isi 4 tablet,Rp6.047,6047.0
kesehatan-wanita,APIALYS SYRUP ISI 100 ML BOTOL,Rp67.649,67649.0
kesehatan-wanita,APIALYS SYRUP ISI 100 ML BOTOL,Rp67.081,67081.0
kesehatan-wanita,Natural Choice Tensi Care - Membantu menurunkan tekanan darah tinggi ringan,Rp53.635,53635.0
kesehatan-wanita,Jakarta Timur,Rp132.000,132000.0
kesehatan-wanita,[Not For Sale] Herbakof Jeruk Nipis Stick Pack Isi 1 Pcs,Rp999.999,999999.0
kesehatan-wanita,Noni Morinda Penurun Darah Tinggi Hypertensi Obat Herbal Tekanan Darah Tinggi Stroke Jantung BPOM,Rp92.000,92000.0
kesehatan-wanita,Flimcol Strawberry 10'S Menjaga Kesehatan Kulit,Rp182.325,182325.0
kesehatan-wanita,APIALYS SYRUP ISI 100 ML BOTOL,Rp69.612,69612.0
kesehatan-wanita,Oil Fit Suplemen Kesehatan Untuk HIV/AIDS Pencegahan Infeksi Virus BakteriDemam Menggigil Hiv Sakit Saat Kencing,Rp132.000,132000.0
kesehatan-wanita,Obat Gangguan Saraf Otak Pendarahan Dan Penyempitan Di Saraf Otak Sering Pusing Kleyengan Vertigo Keloreena Herbal Nutrisi Untuk Otak,Rp103.000,103000.0
kesehatan-wanita,NUTRIBREAST STRIP 10 KAPSUL,Rp122.326,122326.0
kesehatan-wanita,XANTIA LICAPS - Antioksidan dan digunakan untuk menjaga kesehatan,Rp203.000,203000.0
kesehatan-wanita,Jakarta Timur,Rp164.000,164000.0
kesehatan-wanita,Feminax Strip isi 4 Tablet,Rp5.500,5500.0
kesehatan-wanita,Obat Nyeri Sendi Dan Lutut Herbal Sendifit Kapsul Original Isi 50 Kapsul Halal BPOM,Rp137.000,137000.0
kesehatan-wanita,"Paket 10 Botol Yacona Original - Bantu Ringankan Gejala Kencing Manis - BPOM, Halal",Rp2.200.000,2200000.0
kesehatan-wanita,Qnc Jelly Gamat Atasi Lemak Darah Trigliserida Tinggi Kolesterol Jahat Herbal isi 300ml,Rp198.000,198000.0
kesehatan-wanita,CITICOLINE BERNOFARM 500 MG BOX 30 TABLET,Rp150.613,150613.0
kesehatan-wanita,"Propolis SM Untuk Mata Kaki Hitam, Pemudar Mata Kaki Hitam dan Kering, Kaki Kapalan, Mata Kaki Bengkak Kering Hitam",Rp106.000,106000.0
kesehatan-wanita,SEHAT HEALTHY INDO,Rp103.000,103000.0
kesehatan-wanita,Ambeien Ambeyen Wasir Makkata Ambewas Caps Isi 60 Kapsul Membantu Melancarkan BAB Original BPOM,Rp57.500,57500.0
kesehatan-wanita,"Obat Sipilis Pria, Kencing Nanah, Sifilis, Gonore, Radang Prostat, ISK Infeksi Saluran Kemih, Nyeri Perih Saat Kencing, Raja Singa, Nyeri Kelamin Saat Kencing - Propolis",Rp106.000,106000.0
kesehatan-wanita,Kurmaqu GMJ 350gr Sirup Herbal Sari Kurma Gamat Madu Jahe Untuk Gurah Lendir Dahak Suara Serak Tenggorokan Hidung Pembersih Paru Paru BPOM TR256015361 Halal MUI,Rp110.000,110000.0
kesehatan-wanita,Jamu Sehat Wanita Untuk Pembersih Rahim Kotor Setelah K3.GU.GU.RAN & KU.RET,Rp137.000,137000.0
kesehatan-wanita,Jamu Rapet Wanita - Jamu Keset - Sehat Wanita Kapsul,Rp234.000,234000.0
kesehatan-wanita,Propolis SM Untuk Kutil Ke-La-Min HPV Penghilang Kutil Area Sensitif Pada Pria Wanita,Rp105.000,105000.0
kesehatan-wanita,"Hexabumin Vitamin Cacing Anak, Cacingan Anak, Membantu Atasi Cacingan Anak, Infeksi Cacingan Anak",Rp95.000,95000.0
kesehatan-wanita,L-BIO SERBUK SACHET 1 GRAM,Rp15.948,15948.0
kesehatan-wanita,Yacona Herbal Terapi Mengatasi Diabetes dan Menurunkan Gula Darah Tinggi 60 Kapsul BPOM Halal MUI,Rp228.000,228000.0
kesehatan-wanita,Toko Dewi Herbal,Rp123.000,123000.0
kesehatan-wanita,"Propolis Sm - Tetes Cair Gatal Kulit Kurap, Kulit Eksim Basah/Kering, Bintik Berair, Ruam Merah, Psoriasis, Infeksi Jamur Kulit obat alergi kulit",Rp106.000,106000.0
