kategori,name,price_raw,price
air-mineral,Aqua Air Mineral Cup 220 Ml Ktn,Rp53.550,53550.0
air-mineral,LE MINERALE WATER PET 330ML,Rp2.400,2400.0
air-mineral,AQUA AIR MINERAL BOTOL 1500 ML,Rp10.100,10100.0
air-mineral,Fiji Natural Mineral Water 1000ml PET [ Dus isi 12 Botol Plastik ],Rp738.000,738000.0
air-mineral,Le Minerale Water Pet 330Ml,Rp2.660,2660.0
air-mineral,CRYSTALLINE AIR MINERAL 330ML,Rp2.340,2340.0
air-mineral,NESTLE PURE LIFE 600 ML - AIR MINERAL,Rp3.730,3730.0
air-mineral,VIT AIR MINERAL BTL 1500 GR,Rp4.910,4910.0
air-mineral,AQUVIVA AIR MINERAL BOTOL 700 ML - Hypermart,Rp3.630,3630.0
air-mineral,CRYSTALLINE AIR MINERAL 600ML,Rp3.630,3630.0
air-mineral,NESTLE PURE LIFE 600 ML - AIR MINERAL,Rp3.730,3730.0
air-mineral,Amidis Air Mineral Pet 600Ml,Rp4.270,4270.0
air-mineral,AMIDIS AIR MINERAL PET 1500ML,Rp8.550,8550.0
air-mineral,CRYSTALLINE AIR MINERAL 330ML,Rp2.340,2340.0
air-mineral,Aqua Air Mineral Btl 600 Ml,Rp3.730,3730.0
air-mineral,Air Minum Le Minerale Galon 15 Liter,Rp26.778,26778.0
air-mineral,CRYSTALLINE AIR MINERAL 600ML,Rp6.490,6490.0
air-mineral,AQUVIVA AIR MINERAL BOTOL 1600 ML,Rp7.480,7480.0
air-mineral,AQUA AIR MINERAL BOTOL 1500 ML,Rp6.410,6410.0
air-mineral,Club Mineral Water 1500 mL,Rp4.830,4830.0
air-mineral,Crystalline Air Mineral 600Ml,Rp4.480,4480.0
air-mineral,AQUVIVA AIR MINERAL BOTOL 700 ML - Hypermart,Rp3.950,3950.0
air-mineral,CRYSTALLINE AIR MINERAL 1500 ML,Rp5.870,5870.0
air-mineral,[EDISI TERBATAS x TAHILALATS] Crystalin Air Minum Mineral 600ml - [1 Botol],Rp4.250,4250.0
air-mineral,HYPERMART VALUE PLUS DRINKING WATER 1500 ML BOTOL - AIR MINERAL,Rp4.270,4270.0
air-mineral,Cleo Air Murni 550ml 1 pack + 2 Galon 19L,Rp143.250,143250.0
air-mineral,"PRE-ORDER [SUPER HEMAT] Air Murni Cleo 12,8 LT - Bundling Hemat 6 Galon",Rp135.161,135161.0
air-mineral,Fiji Natural Mineral Water 330ml PET [ Dus isi 24 Botol Plastik ],Rp615.000,615000.0
air-mineral,VIT AIR MINERAL BTL 1500 GR,Rp4.450,4450.0
air-mineral,ORGANIQUE Premium Alkaline mineral water teknologi USA. 1200 ml isi 12,Rp222.000,222000.0
air-mineral,"Perfect Alkaline Water 1 Liter PH 9,5 (BELI 6 DUS)",Rp328.500,328500.0
air-mineral,Paket 3 Karton Air minum Nestle Pure Life 330 mL (KHUSUS WILAYAH DKI JAKARTA),Rp190.500,190500.0
