name,price,Kategori
Jamur Perancis Sliced Pack 250 Gr,19900,Sayuran
HOKTO MUSHROOM WHITE PACK JAPAN,19100,Sayuran
Kongke Tofu Jepun Putih 250Gr,10300,Sayuran
KABOCHA LABU KUNING 1 KG,39480,Sayuran
Jamur Perancis Whole Pack,19600,Sayuran
Jamur Kuping Pack 100 Gr,12300,Sayuran
Cabe Rawit Hijau 100 Gr,8150,Sayuran
CABE RAWIT HIJAU 100-120 GR,12350,Sayuran
PAPRIKA HIJAU 220 GR,23600,Sayuran
CABE MERAH KRITING 250 GR,21060,Sayuran
CABE RAWIT MERAH 100-120 GR,10640,Sayuran
Jamur Perancis Whole Pack,20220,Sayuran
JAMUR PERANCIS WHOLE PACK,18180,Sayuran
Tempe Organik GMO & Non-GMO - Sayur Kendal,30300,Sayuran
TIMUN JAP 500-520 GR - SAYUR,14950,Sayuran
Eat Me Brand - Sayur Pakcoy Hijau Hidroponik Kg,22050,Sayuran
Kongke Tofu Rasa Udang 140 Gr,12610,Sayuran
Salanova Oakleaf Mix 200 gram Amazing Farm,32000,Sayuran
Selada Romaine Konvensional 500 gram Sayurbox,38000,Sayuran
Tomat Hijau 250 gr FreshBox,5600,Sayuran
JAMUR PERANCIS SLICED PACK 250 GR,19600,Sayuran
Selada Romain - Sayur Kendal,21875,Sayuran
KONGKE TAHU SUTRA 250 GR,12830,Sayuran
Kongke Tofu Telur Special 140 Gr,9620,Sayuran
PAPRIKA MERAH 200-220 GR - SAYUR,21980,Sayuran
CABE MERAH KRITING 250-270 GR,26120,Sayuran
JAMUR KUPING PACK 100 GRAM,7150,Sayuran
Sakake Tofu Telur 230 Gr,18250,Sayuran
KEMBANG KOL 500 GR,52470,Sayuran
CABE RAWIT HIJAU 100-120 GR,10900,Sayuran
BUNCIS PERANCIS PACK - SAYURAN,16400,Sayuran
JAMUR PERANCIS SLICED PACK 250 GR,19600,Sayuran
Cabe Hijau - Sayur Kendal,51000,Sayuran
Brokoli Potong - Sayur Kendal,29000,Sayuran
CABE MERAH KRITING 250 GR - CABAI,29670,Sayuran
TOMAT TW 500 GR,20970,Sayuran
KEMBANG KOL 500-600 GR - SAYUR,28740,Sayuran
KONGKE TAHU SUTRA 250 GRAM,13900,Sayuran
Daun Kangkung Ikat 150 Gr,4810,Sayuran
JAMUR ENOKIDAKE PACK,7150,Sayuran
Selada Iceberg B2G3 Konvensional 500 gram,91900,Sayuran
TAHU YUNYIE 4 PCS PUTIH - OLAHAN KEDELAI,18520,Sayuran
CABE HIJAU TW 250-270 GR - CABAI,13470,Sayuran
KONGKE TAHU SUTRA 250 GR,11990,Sayuran
LABU SIAM BESAR 350-400 GR - SAYUR,7800,Sayuran
WHITE SHIMEJI MUSHROOM PACK 100 GR - JAMUR,18050,Sayuran
KING OYSTER MUSHROOM 200 GR,22150,Sayuran
SELADA KERITING HYDROPONIK PACK,9200,Sayuran
Kol Putih 1200 Gr,31850,Sayuran
IMI TAHU PUTIH 10 PCS/PACK,23700,Sayuran
Bok Choy (Pakchoy) Hidroponik 250 gram Amazing Farm,26000,Sayuran
Cabe Merah Besar - Sayur Kendal,99100,Sayuran
Kongke Tofu Telur Special 140 Gr,12510,Sayuran
Kongke Tofu Rasa Udang 140 Gr,12080,Sayuran
Bundle Paprika Mix Konvensional 3 pcs,95700,Sayuran
Kongke Tofu Telur Ayam 140 Gr,11350,Sayuran
SELADA KERITING HYDROPONIK PACK,25650,Sayuran
White Oyster Mushroom Pack 100 Gr,14350,Sayuran
SAKAKE TOFU PUTIH 230 GR - TAHU,12350,Sayuran
Labu Siam Buah Segar 1Pcs,9000,Sayuran
TOMAT TW 500-600 GR - SAYUR,18480,Sayuran
Jamur Perancis Whole Pack,20220,Sayuran
KEMBANG KOL 500 GR,30840,Sayuran
KEMBANG KOL 500 GR,29610,Sayuran
JAMUR CHAMPIGNOT PACK 200 GR,21500,Sayuran
Kongke Tofu Jepun Putih 250Gr,11990,Sayuran
Kongke Tofu Jepun Putih 250Gr,13400,Sayuran
SAKAKE TOFU TELUR 150 GR - TAHU,12350,Sayuran
Labu Siam Buah Segar 1Pcs,9000,Sayuran
HOKTO MUSHROOM BROWN PACK JAPAN - JAMUR,18350,Sayuran
SELADA KERITING HYDROPONIK PACK,25650,Sayuran
PAPRIKA HIJAU 220-250 GRAM,11260,Sayuran
CABE HIJAU TW 250-270 GR - CABAI,13470,Sayuran
KONGKE TAHU SUTRA 250 GR,11990,Sayuran
KING OYSTER MUSHROOM 200 GR,22150,Sayuran
WHITE SHIMEJI MUSHROOM PACK 100 GR - JAMUR,18050,Sayuran
TOMAT TW SEGAR 500-600 GRAM,15990,Sayuran
BROKOLI 220 GR,20940,Sayuran
KONGKE TOFU JEPUN PUTIH 250GR,12600,Sayuran
Kongke Tofu Telur Special 140 Gr,12510,Sayuran
Kongke Tofu Rasa Udang 140 Gr,12080,Sayuran
Selada Bulat Organik - Sayur Kendal,34650,Sayuran
Kangkung - Sayur Kendal Fresh & Organic,28125,Sayuran
Paprika Kuning Hidroponik140-200gr (pck) Freshbox,39100,Sayuran
Baby Pakcoy 250gr Freshbox,10600,Sayuran
CABE MERAH TW 240 GR - CABAI,26340,Sayuran
KONGKE TAHU SUTRA 250 GR,11350,Sayuran
Paket Tumis Sawi Putih - Sayur Kendal,18000,Sayuran
Paket Acar Kuning Timun Wortel - Sayur Kendal,31000,Sayuran
LABU SIAM BESAR 350 GR,10060,Sayuran
PAPRIKA HIJAU 220 GR,23150,Sayuran
Eat Me Brand - Kol Ungu / Kol Merah / Red Cabbage,34650,Sayuran
KING OYSTER MUSHROOM 200 GR - JAMUR,26640,Sayuran
Planto Baby Kailan Planto 1 pack sayurbox,14100,Sayuran
Kongke Tofu Rasa Udang 140 Gr,13040,Sayuran
JAMUR CHAMPIGNOT PACK 200 GR,22150,Sayuran
BERNARDI YONG TOFU INSTAN 300 GR,51500,Sayuran
AMAZING FARM KALE GREEN HYDROPONIK PACK,21900,Sayuran
JAMUR PERANCIS SLICED PACK 250 GR,20600,Sayuran
SAYUR PARE HIJAU 500-580 GRAM,14650,Sayuran
SAKAKE TOFU TELUR 230 GRAM,18250,Sayuran
BUNCIS TW 250-280 GR - SAYURAN,8370,Sayuran
CABE HIJAU KERITING 250-270 GR,14820,Sayuran
JAMUR PERANCIS WHOLE PACK 250 GR,19600,Sayuran
BROWN SHIMEJI MUSHROOM PACK 150 GR,18050,Sayuran
HOKTO MUSHROOM BROWN PACK JPN,19100,Sayuran
CABE HIJAU TW 250-270 GR - CABAI,16110,Sayuran
Jamur Perancis Whole Pack,20220,Sayuran
Paket Sawi Hijau Potong - Sayur Kendal,10000,Sayuran
Buncis TW 250 Gr,9970,Sayuran
Sayurbox Paket Sambal Hijau Fresh Konvensional 1 Pack dengan Cabai Rawit Hijau Besar Keriting Tomat Hijau Bawang Merah Putih Kecombrang Herbal,29900,Sayuran
Kongke Tofu Telur Ayam 140 Gr,11760,Sayuran
Wortel Brastagi 500gr FreshBox,10400,Sayuran
Timun Acar 280 Gr,7220,Sayuran
